,esn,wash_date,wash_type,source_type,engine_family
1994,785763,2015-06-03,WW,RDO,CT7
1995,785763,2015-07-26,WW,RDO,CT7
1996,802911,2012-06-24,WW,FDM,CFM56
1997,858676,2012-09-25,WW,RDO,CFM56
1998,858676,2013-04-14,WW,RDO,CFM56
1999,858676,2014-10-21,WW,RDO,CFM56
2000,802288,2012-02-05,WW,RDO,CFM56
2001,862694,2016-07-17,WW,RDO,CFM56
2002,862694,2016-11-04,WW,RDO,CFM56
2003,862595,2016-10-26,WW,RDO,CFM56
2004,892403,2011-01-04,WW,RDO,CFM56
2005,892403,2011-08-23,WW,RDO,CFM56
2006,892403,2012-03-14,WW,RDO,CFM56
2007,892403,2012-10-12,WW,RDO,CFM56
2008,892403,2013-05-25,WW,RDO,CFM56
2009,892403,2013-12-30,WW,RDO,CFM56
2010,892403,2015-10-28,WW,RDO,CFM56
2011,892403,2016-11-07,WW,RDO,CFM56
2012,894974,2010-12-31,WW,RDO,CFM56
2013,894974,2011-07-22,WW,RDO,CFM56
2014,894974,2012-04-18,WW,RDO,CFM56
2015,894974,2012-11-26,WW,RDO,CFM56
2016,894974,2013-06-19,WW,RDO,CFM56
2017,894974,2014-01-22,WW,RDO,CFM56
2018,894974,2016-09-17,WW,RDO,CFM56
2019,892173,2014-05-13,WW,RDO,CFM56
2020,900373,2013-02-11,WW,RDO,GE90
2021,960115,2014-01-26,WW,RDO,CFM56
2022,960115,2016-06-27,WW,RDO,CFM56
2023,960115,2016-10-25,WW,RDO,CFM56
2024,960115,2017-04-28,WW,RDO,CFM56
2025,960115,2017-11-13,WW,RDO,CFM56
2026,655105,2016-05-03,WW,RDO,CFM56
2027,655105,2016-10-20,WW,RDO,CFM56
2028,690347,2017-06-26,WW,RDO,CF6
2029,690347,2018-04-21,WW,RDO,CF6
2030,645137,2013-09-12,WW,RDO,CFM56
2031,645460,2014-12-14,WW,RDO,CFM56
2032,706407,2010-10-10,WW,RDO,CF6
2033,706407,2014-05-24,WW,RDO,CF6
2034,706407,2014-09-08,WW,RDO,CF6
2035,697147,2015-02-03,WW,FDM,CFM56
2036,731712,2013-11-17,WW,RDO,CFM56
2037,731712,2017-02-19,WW,RDO,CFM56
2038,702884,2010-12-27,WW,RDO,CF6
2039,706726,2010-06-26,WW,RDO,CF6
2040,193863,2014-06-24,WW,RDO,CF34
2041,862368,2016-10-23,WW,RDO,CFM56
2042,643682,2013-03-19,WW,RDO,CFM56
2043,893316,2011-03-17,WW,RDO,CFM56
2044,695623,2011-01-24,WW,RDO,CF6
2045,706827,2011-01-19,WW,RDO,CF6
2046,577811,2009-10-12,WW,RDO,CFM56
2047,577811,2010-03-11,WW,RDO,CFM56
2048,577811,2010-07-11,WW,RDO,CFM56
2049,577811,2010-12-23,WW,RDO,CFM56
2050,577811,2011-03-27,WW,FDM,CFM56
2051,577811,2011-07-30,WW,RDO,CFM56
2052,706926,2010-09-06,WW,RDO,CF6
2053,731404,2010-09-09,WW,RDO,CFM56
2054,731404,2013-11-12,WW,RDO,CFM56
2055,731404,2014-11-29,WW,RDO,CFM56
2056,731404,2016-10-14,WW,RDO,CFM56
2057,731404,2017-09-23,WW,RDO,CFM56
2058,894556,2010-12-24,WW,RDO,CFM56
2059,894556,2011-07-04,WW,RDO,CFM56
2060,894556,2012-04-14,WW,RDO,CFM56
2061,894556,2012-08-22,WW,RDO,CFM56
2062,894556,2013-01-07,WW,RDO,CFM56
2063,894556,2013-05-24,WW,RDO,CFM56
2064,894556,2013-09-29,WW,RDO,CFM56
2065,894556,2014-02-24,WW,RDO,CFM56
2066,894556,2014-08-18,WW,RDO,CFM56
2067,894556,2016-12-05,WW,RDO,CFM56
2068,706926,2016-07-24,WW,RDO,CF6
2069,706926,2016-11-11,WW,RDO,CF6
2070,706926,2017-08-01,WW,RDO,CF6
2071,706926,2017-12-01,WW,RDO,CF6
2072,741542,2012-06-16,WW,RDO,CFM56
2073,785702,2012-04-05,WW,RDO,CT7
2074,785702,2012-07-11,WW,RDO,CT7
2075,785702,2013-12-11,WW,RDO,CT7
2076,785702,2014-06-01,WW,RDO,CT7
