,esn,wash_date,wash_type,source_type,engine_family
408,858725,2011-10-11,WW,RDO,CFM56
409,811131,2010-01-30,WW,RDO,CF6
410,704137,2017-05-19,WW,RDO,CF6
411,706646,2016-02-09,WW,RDO,CF6
412,894626,2012-12-12,WW,RDO,CFM56
413,858827,2017-06-24,WW,RDO,CFM56
414,643139,2020-08-21,WW,FDM,CFM56
415,697498,2020-07-18,WW,FDM,CFM56
416,860134,2014-10-20,WW,RDO,CFM56
417,804197,2014-09-09,WW,RDO,CFM56
418,890430,2013-07-06,WW,RDO,CFM56
419,896885,2012-06-23,WW,RDO,CFM56
420,309103,2011-08-21,WW,RDO,CT7
421,860179,2012-10-12,WW,RDO,CFM56
422,741659,2011-02-22,WW,RDO,CFM56
423,894356,2012-10-24,WW,RDO,CFM56
424,894353,2016-11-09,WW,RDO,CFM56
425,731663,2011-06-05,WW,RDO,CFM56
426,661682,2020-03-07,WW,FDM,CFM56
427,960198,2013-10-23,WW,RDO,CFM56
428,699155,2011-02-22,WW,RDO,CFM56
429,702352,2014-01-21,WW,RDO,CF6
430,894121,2011-03-25,WW,RDO,CFM56
431,892499,2014-05-03,WW,RDO,CFM56
432,890430,2016-09-20,WW,RDO,CFM56
433,802809,2012-10-13,WW,RDO,CFM56
434,892499,2014-10-13,WW,RDO,CFM56
435,906317,2017-02-17,WW,RDO,GE90
436,706504,2016-07-19,WW,RDO,CF6
437,741640,2011-04-15,WW,RDO,CFM56
438,706475,2017-10-09,WW,RDO,CF6
439,785587,2011-06-12,WW,RDO,CT7
440,785596,2012-03-24,WW,RDO,CT7
441,697105,2011-03-26,WW,RDO,CFM56
442,702420,2013-04-10,WW,RDO,CF6
443,706645,2015-04-25,WW,RDO,CF6
444,802784,2011-02-23,WW,RDO,CFM56
445,702713,2017-05-02,WW,RDO,CF6
446,660742,2016-06-18,WW,RDO,CFM56
447,645138,2013-09-13,WW,RDO,CFM56
448,702516,2011-05-06,WW,RDO,CF6
449,811130,2009-04-20,WW,RDO,CF6
450,785795,2011-06-11,WW,RDO,CT7
451,906722,2017-11-26,WW,RDO,GE90
452,892403,2011-08-22,WW,RDO,CFM56
453,858797,2010-10-17,WW,RDO,CFM56
454,906859,2015-09-04,WW,RDO,GE90
455,785732,2011-12-19,WW,RDO,CT7
456,731662,2017-04-11,WW,RDO,CFM56
457,731825,2016-05-29,WW,RDO,CFM56
458,856751,2010-10-09,WW,RDO,CFM56
459,706361,2014-05-13,WW,RDO,CF6
460,731919,2010-11-23,WW,RDO,CFM56
461,858823,2012-02-15,WW,RDO,CFM56
462,706740,2020-03-11,WW,FDM,CF6
463,862767,2016-09-02,WW,RDO,CFM56
464,856751,2014-01-27,WW,RDO,CFM56
465,860227,2018-01-19,WW,RDO,CFM56
466,703158,2011-12-03,WW,RDO,CF6
467,785151,2009-08-06,WW,RDO,CT7
468,706504,2016-09-27,WW,RDO,CF6
469,863741,2016-09-02,WW,RDO,CFM56
470,598132,2020-08-18,WW,FDM,LEAP
471,707199,2017-11-05,WW,RDO,CF6
472,731842,2014-04-07,WW,RDO,CFM56
473,731392,2016-10-13,WW,RDO,CFM56
474,860238,2018-05-03,WW,RDO,CFM56
475,894654,2011-09-04,WW,RDO,CFM56
476,874118,2014-05-05,WW,RDO,CFM56
477,785794,2014-11-20,WW,RDO,CT7
478,906317,2017-06-15,WW,RDO,GE90
479,894556,2013-01-06,WW,RDO,CFM56
480,660263,2020-04-17,WW,FDM,CFM56
481,038766,2020-07-23,WW,FDM,CFM56
482,699977,2011-06-16,WW,RDO,CFM56
483,906649,2015-06-25,WW,RDO,GE90
484,862463,2016-08-05,WW,RDO,CFM56
485,802804,2016-07-28,WW,RDO,CFM56
486,658828,2020-03-17,WW,FDM,CFM56
487,706951,2014-01-22,WW,RDO,CF6
488,890430,2010-10-12,WW,RDO,CFM56
489,193286,2012-07-31,WW,RDO,CF34
490,858976,2015-02-01,WW,RDO,CFM56
491,785510,2010-03-31,WW,RDO,CT7
492,857734,2016-04-23,WW,RDO,CFM56
493,958366,2020-02-24,WW,FDM,GENX
494,802515,2012-11-26,WW,RDO,CFM56-7B
495,894120,2011-03-25,WW,RDO,CFM56
496,785703,2010-11-01,WW,RDO,CT7
497,599456,2020-08-07,WW,FDM,LEAP
498,962749,2017-12-03,WW,RDO,CFM56
499,906203,2016-01-13,WW,RDO,GE90
500,779595,2011-03-04,WW,RDO,CFM56
501,890420,2011-04-28,WW,RDO,CFM56
502,874292,2011-05-31,WW,RDO,CFM56
503,785494,2011-03-28,WW,RDO,CT7
504,906408,2018-01-01,WW,RDO,GE90
505,874119,2013-09-13,WW,RDO,CFM56
506,193328,2014-10-13,WW,RDO,CF34
507,888769,2013-09-13,WW,RDO,CFM56
